N,101,101,101,102,102,102,103,103,103,104,104,104,105,105,105,106,106,106,
 1,   18,  0.000,  0.000,    4,  0.010,  0.004,   28,  0.180,  0.450,   29,  0.310,  0.072,   30,  0.120,  0.058,   13,  0.100,  0.033,
 2,   19,  0.120,  0.124,   10,  0.270,  0.101,   29,  0.180,  0.450,   30,  0.300,  0.070,   38,  0.460,  0.223,   21,  0.370,  0.123,
 3,   20,  0.040,  0.041,   11,  0.630,  0.235,   37,  0.040,  0.100,   37,  0.270,  0.063,   39,  0.420,  0.204,   22,  0.230,  0.076,
 4,   26,  0.170,  0.175,   18,  0.490,  0.183,,,,   38,  0.550,  0.128,   68,  0.010,  0.005,   29,  0.040,  0.013,
 5,   27,  0.510,  0.526,   19,  0.910,  0.340,,,,   67,  0.220,  0.051,   69,  0.540,  0.262,   30,  0.600,  0.199,
 6,   28,  0.110,  0.113,   20,  0.160,  0.060,,,,   68,  1.030,  0.240,   70,  0.160,  0.078,   31,  0.180,  0.060,
 7,   34,  0.020,  0.021,   26,  0.200,  0.075,,,,   69,  0.470,  0.110,   80,  0.310,  0.150,   38,  0.020,  0.007,
 8,,,,   27,  0.000,  0.000,,,,   70,  0.050,  0.012,   90,  0.040,  0.019,   39,  0.580,  0.192,
 9,,,,   28,  0.010,  0.004,,,,   77,  0.040,  0.009,,,,   40,  0.100,  0.033,
 10,,,,,,,,,,   78,  0.220,  0.051,,,,   69,  0.010,  0.003,
 11,,,,,,,,,,   79,  0.550,  0.128,,,,   70,  0.350,  0.116,
 12,,,,,,,,,,   80,  0.280,  0.065,,,,   80,  0.390,  0.129,
 13,,,,,,,,,,,,,,,,   81,  0.040,  0.013,
 14,,,,,,,,,,,,,,,,   90,  0.010,  0.003,
 15,,,,,,,,,,,,,,,,,,,
,
,
,
,
N,107,107,107,108,108,108,109,109,109,110,110,110,111,111,111,112,112,112,
 1,   80,  0.000,  0.000,  111,  0.070,  0.068,  136,  0.030,  0.019,  111,  0.090,  0.025,  174,  0.010,  0.001,  174,  0.200,  0.064,
 2,   81,  0.030,  0.022,  120,  0.260,  0.252,  144,  0.430,  0.272,  120,  0.080,  0.022,  180,  0.340,  0.049,  175,  0.010,  0.003,
 3,   90,  0.130,  0.096,  129,  0.350,  0.340,  145,  0.740,  0.468,  129,  0.110,  0.031,  181,  0.330,  0.048,  180,  0.030,  0.010,
 4,   91,  0.400,  0.294,  136,  0.330,  0.320,  155,  0.340,  0.215,  136,  0.350,  0.097,  186,  0.340,  0.049,  181,  0.160,  0.051,
 5,  100,  0.010,  0.007,  145,  0.010,  0.010,  201,  0.040,  0.025,  145,  0.220,  0.061,  187,  1.000,  0.145,  187,  0.010,  0.003,
 6,  101,  0.460,  0.338,  180,  0.010,  0.010,,,,  155,  0.010,  0.003,  188,  0.220,  0.032,  188,  0.450,  0.143,
 7,  111,  0.320,  0.235,,,,,,,  174,  0.270,  0.075,  191,  0.460,  0.067,  193,  0.410,  0.131,
 8,  174,  0.010,  0.007,,,,,,,  180,  0.690,  0.192,  192,  1.040,  0.151,  194,  0.340,  0.108,
 9,,,,,,,,,,  156,  0.690,  0.192,  193,  0.600,  0.087,  198,  0.480,  0.153,
 10,,,,,,,,,,  191,  0.600,  0.167,  196,  0.550,  0.080,  199,  0.470,  0.150,
 11,,,,,,,,,,  196,  0.460,  0.128,  197,  1.020,  0.148,  203,  0.360,  0.115,
 12,,,,,,,,,,  201,  0.030,  0.008,  198,  0.550,  0.080,  204,  0.130,  0.041,
 13,,,,,,,,,,,,,  201,  0.030,  0.004,  252,  0.070,  0.022,
 14,,,,,,,,,,,,,  202,  0.160,  0.023,  253,  0.020,  0.006,
 15,,,,,,,,,,,,,  203,  0.230,  0.033,,,,
,
,
,
,
N,115,115,115,116,116,116,118,118,118,119,119,119,120,120,120,121,121,121,
 1,  194,  0.270,  0.073,  252,  0.000,  0.000,  260,  0.040,  0.056,  270,  0.060,  0.222,  274,  0.070,  0.113,  267,  0.020,  0.018,
 2,  195,  0.610,  0.164,  253,  0.030,  0.019,  264,  0.510,  0.708,  271,  0.020,  0.074,  275,  0.020,  0.032,  270,  0.270,  0.243,
 3,  199,  0.550,  0.148,  256,  0.330,  0.208,  267,  0.170,  0.236,  274,  0.180,  0.667,  278,  0.350,  0.565,  273,  0.040,  0.036,
 4,  200,  0.460,  0.124,  257,  0.370,  0.233,,,,  275,  0.010,  0.037,  279,  0.180,  0.290,  274,  0.430,  0.387,
 5,  203,  0.010,  0.003,  260,  0.740,  0.465,,,,,,,,,,  277,  0.110,  0.099,
 6,  204,  0.880,  0.237,  261,  0.110,  0.069,,,,,,,,,,  278,  0.230,  0.207,
 7,  205,  0.040,  0.011,  264,  0.010,  0.006,,,,,,,,,,  281,  0.010,  0.009,
 8,  252,  0.020,  0.005,,,,,,,,,,,,,,,,
 9,  253,  0.800,  0.216,,,,,,,,,,,,,,,,
 10,  257,  0.070,  0.019,,,,,,,,,,,,,,,,
 11,,,,,,,,,,,,,,,,,,,
 12,,,,,,,,,,,,,,,,,,,
 13,,,,,,,,,,,,,,,,,,,
 14,,,,,,,,,,,,,,,,,,,
 15,,,,,,,,,,,,,,,,,,,
,
,
,
,
N,122,122,122,201,201,201,202,202,202,203,203,203,204,204,204,205,205,205,
 1,  278,  0.460,  0.754,   26,  0.010,  0.005,   27,  0.000,  0.000,   77,  0.160,  0.094,   97,  0.090,  0.030,   77,  0.040,  0.041,
 2,  279,  0.130,  0.213,   27,  0.530,  0.244,   29,  0.000,  0.000,   78,  0.240,  0.141,   98,  0.490,  0.164,   78,  0.360,  0.367,
 3,  281,  0.020,  0.033,   28,  0.510,  0.235,   35,  0.770,  0.251,   87,  0.210,  0.124,   99,  0.010,  0.003,   88,  0.350,  0.357,
 4,  282,  0.000,  0.000,   29,  0.000,  0.000,   36,  0.410,  0.134,   88,  0.600,  0.353,  107,  0.000,  0.000,   89,  0.050,  0.051,
 5,,,,   35,  0.150,  0.069,   37,  0.390,  0.127,   97,  0.050,  0.029,  108,  0.860,  0.288,   98,  0.080,  0.082,
 6,,,,   36,  0.630,  0.290,   65,  0.130,  0.042,   98,  0.440,  0.259,  109,  0.540,  0.181,   99,  0.100,  0.102,
 7,,,,   37,  0.340,  0.157,   66,  0.550,  0.179,,,,  117,  0.210,  0.070,,,,
 8,,,,   66,  0.000,  0.000,   67,  0.820,  0.267,,,,  118,  0.790,  0.264,,,,
 9,,,,,,,,,,,,,,,,,,,
 10,,,,,,,,,,,,,,,,,,,
 11,,,,,,,,,,,,,,,,,,,
 12,,,,,,,,,,,,,,,,,,,
 13,,,,,,,,,,,,,,,,,,,
 14,,,,,,,,,,,,,,,,,,,
 15,,,,,,,,,,,,,,,,,,,
,
,
,
,
N,206,206,206,207,207,207,208,208,208,209,209,209,210,210,210,211,211,211,
 1,   98,  0.010,  0.008,  118,  0.180,  0.161,  118,  0.010,  0.010,   78,  0.200,  0.112,   88,  0.000,  0.000,   80,  0.010,  0.004,
 2,   99,  0.500,  0.407,  119,  0.700,  0.625,  119,  0.000,  0.000,   79,  0.480,  0.268,   89,  0.370,  0.416,   90,  0.520,  0.194,
 3,  109,  0.440,  0.358,  128,  0.240,  0.214,  127,  0.640,  0.660,   80,  0.000,  0.000,   90,  0.010,  0.011,   99,  0.040,  0.015,
 4,  110,  0.200,  0.163,,,,  128,  0.320,  0.330,   88,  0.060,  0.034,   99,  0.380,  0.427,  100,  0.770,  0.287,
