215      1                     215=ífñ êî     1=åvéZílÉvÉçÉbÉgóLÇË  0=ñ≥Çµ
S0.000        0       -2.50
S0.200     2000       -2.50
S0.400     2000       -2.50
S0.600     2000       -3.00
S0.800     2000       -3.83
SP1        1400       -4.59
S1.000      600       -3.39
S1.200     2000       -3.30
S1.400     2000       -3.78
S1.600     2000       -3.27
S1.800     2000       -3.43
S2.000     2000       -3.52
S2.200     2000       -3.09
S2.400     2000       -3.22
S2.600     2000       -3.16
S2.800     2000       -3.64
S3.000     2000       -3.77
S3.200     2000       -3.53    â∫îVàÍêF
SP2        1450       -3.56
S3.400      550       -3.11
S3.600     2000       -5.17
S3.800     2000       -4.64
S4.000     2000       -5.91
SP3        1000       -5.45
S4.200     1000       -5.18
S4.400     2000       -6.64
S4.600     2000       -4.30
S4.800     2000       -4.09
S5.000     2000       -2.74
SP4         800       -2.87
S5.200     1200       -2.87
S5.400     2000       -3.26
S5.600     2000       -3.43
S5.800     2000       -3.88
S6.000     2000       -4.85
S6.200     2000       -3.81
SP5         500       -4.60
S6.400     1500       -4.11
SP6         500       -3.39
SP7         500       -4.60
S6.600     1000       -4.43
S6.800     2000       -5.09
SD1         550       -5.06
S7.000     1450       -4.03
SP8         750       -4.71
S7.200     1250       -2.99
SP9         850       -3.10
S7.400     1150       -3.01
SP10       1050       -3.49
S7.600      950       -3.25
S7.800     2000       -3.40
S8.000     2000       -3.65
S8.200     2000       -3.01
SP11        850       -3.61
S8.400     1150       -3.01
SP12       1000       -2.65
S8.600     1000       -2.71
S8.800     2000       -3.08
SP13        580       -4.51
S9.000     1420       -2.63
S9.200     2000       -2.55
S9.400     2000       -2.61
SP14       1350       -3.76
S9.600      650       -3.93
S9.800     2000       -3.04
SP15       1500       -4.35
S10.00      500       -2.63
S10.20     2000       -2.72
SP16       1500       -3.06
S10.40      500       -2.46
S10.60     2000       -2.87
S10.80     2000       -2.50
S11.00     2000       -1.82    ëÂé°
S11.20     2000       -2.74
SP17       1620       -2.47
S11.40      380       -2.08
S11.60     2000       -3.25
S11.80     2000       -3.37
SP18        850       -4.61
S12.00     1150       -5.16
S12.20     2000       -1.79
S12.40     2000       -3.01
S12.60     2000       -3.10
S12.80     2000       -2.88
S13.00     2000       -2.65
SP19       1420       -2.31
S13.20      580       -2.21
S13.40     2000       -2.53
SP20       1300       -5.75
S13.60      700       -3.50
SP21        630       -3.93
S13.80     1370       -3.04
S14.00     2000       -2.48
SP22        700       -2.96
S14.20     1300       -3.14
S14.40     2000       -4.02
SP23        400       -4.07
SP24        400       -4.18
SP25        400       -3.86
SP26        400       -3.43
S14.60      400       -2.94
S14.80     2000       -3.66
SP27        840       -3.75
S15.00     1160       -3.11
S15.20     2000       -2.26
S15.40     2000       -2.55
SP28        480       -2.44
S15.60     1520       -2.66
SP29        660       -2.52
SP30        660       -2.45
S15.80      680       -2.47    êÖèÍäOêÖà 
S15.90     1000       -3.25
S16.00     1000       -2.48
SP31        660       -3.56
SP32        660       -2.97
S16.20      680       -3.10
S16.40     2000       -3.21
SP33       1340       -3.51
S16.60      660       -2.82
S16.80     2000       -2.89
S17.00     2000       -2.74
S17.20     2000       -2.35
SP34        350       -2.51
SP35        350       -2.48
S17.40     1300       -3.27
SP36        810       -2.69
S17.60     1190       -2.33
SP37        660       -2.38
SP38        660       -2.74
S17.80      680       -2.29
S18.00     2000       -2.18
S18.20     2000       -2.15
S18.40     2000       -1.45
S18.60     2000       -1.51
SP39        660       -1.42
SP40        660       -1.03
S18.80      680       -1.36
S19.00     2000       -1.67
S19.20     2000       -1.57
S19.40     2000       -2.01
S19.60     2000       -1.14
S19.80     2000       -1.00
SP41        500       -1.03
S19.90      500       -1.39    ãvínñÏ
S20.00     1000       -0.45
G0.000    1.E-9       -3.89
GP1         660       -4.04
GP2         660       -4.04
G0.200      680       -3.84
G0.400     2000       -3.79
G0.600     2000       -3.73
G0.800     2000       -3.67
G1.000     2000       -3.62
G1.200     2000       -1.16
GS1         201       -0.81
G1.400     1799       -0.68
GP3         500       -0.95
GP4         500       -1.02
GP5         500       -1.70
G1.600      500       -5.10
GP6        1000       -3.11
G1.800     1000       -0.64
G2.000     2000       -1.08
G2.200     2000       -1.75
G2.400     2000       -1.18
G2.600     2000       -0.58
GP7        1000       -0.54
G2.800     1000       -0.65
GP8        1802       -0.63
G3.000      500       -0.47
GP9        1500       -0.63
G3.200      916       -0.52
GP10       1616       -0.58
G3.400      384       -0.47
G3.600     2000       -0.47
GP11        966       -0.80
G3.800     1034       -0.86
GP12        500       -0.41
GP13        500       -0.47
GP14        500       -0.09
G4.000      500       -0.26
GP15        559       -0.56
G4.200     1441       -0.67
GP16        575        0.09
G4.400     1425       -0.14
GP17        561        0.12
G4.600     1439        0.45
G4.800     2000        0.29
GP18        605        0.29
G5.000     1395        0.55
GP19        950       -0.20
G5.200     1050        0.34
G5.400     2000       -0.10
GS2        1520        0.90
G5.600      480        0.97
GP20        500        0.97
G5.800     1500        0.49
G6.000     2000        1.10
G6.200     2000        1.25
GP21       1000       -0.57
G6.400     1000        1.97    ètì˙
G6.600     2000        1.73
GP22        660       -0.31
GP23        660       -0.28
G6.800      680        0.73
G7.000     2000        0.77
GP24       1330        1.09
G7.200      670        0.87
G7.400     2000        0.89
G7.600     2000        0.86
GP25       1350        1.92
G7.800      650        1.16
G8.000     2000        0.84
GP26       1550        0.89
G8.200      450        0.89
